Date,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,Stock Name,sentiment_label
2021-10-07,0.0,0.949,0.051,0.368,INTC,Positive
2021-10-14,0.113,0.887,0.0,-0.6792,INTC,Negative
2021-10-16,0.0,0.978,0.022,0.1582,INTC,Positive
2021-10-17,0.0,0.9853333333333333,0.014666666666666666,0.10546666666666667,INTC,Positive
2021-10-18,0.636,0.364,0.0,-0.5423,INTC,Negative
2021-10-19,0.102,0.86,0.038,-0.6027,INTC,Negative
2021-10-21,0.05575000000000001,0.872,0.0725,0.019000000000000003,INTC,Neutral
2021-10-22,0.15866666666666665,0.8413333333333334,0.0,-0.6318,INTC,Negative
2021-10-24,0.0,0.801,0.199,0.886,INTC,Positive
2021-10-25,0.0,0.866,0.134,0.7481,INTC,Positive
2021-10-26,0.073,0.866,0.06,-0.1901,INTC,Negative
2021-10-28,0.044,0.887,0.068,0.2808,INTC,Positive
2021-10-29,0.08,0.707,0.212,0.6596,INTC,Positive
2021-11-02,0.0,1.0,0.0,0.0,INTC,Neutral
2021-11-05,0.0365,0.788,0.1755,0.48135,INTC,Positive
2021-11-06,0.0,0.902,0.098,0.6408,INTC,Positive
2021-11-08,0.0,0.796,0.204,0.6841,INTC,Positive
2021-11-09,0.0,0.9510000000000001,0.049,0.3436,INTC,Positive
2021-11-12,0.0,1.0,0.0,0.0,INTC,Neutral
2021-11-13,0.0,1.0,0.0,0.0,INTC,Neutral
2021-11-15,0.228,0.686,0.086,-0.7506,INTC,Negative
2021-11-20,0.0,0.86,0.14,0.6908,INTC,Positive
2021-11-21,0.067,0.9,0.033,-0.431,INTC,Negative
2021-11-22,0.0865,0.858,0.0555,-0.020500000000000018,INTC,Neutral
2021-11-30,0.0,1.0,0.0,0.0,INTC,Neutral
2021-12-02,0.046,0.8105,0.1435,0.15405000000000002,INTC,Positive
2021-12-05,0.073,0.726,0.201,0.7097,INTC,Positive
2021-12-06,0.060399999999999995,0.8695999999999999,0.06999999999999999,0.015220000000000011,INTC,Neutral
2021-12-07,0.03183333333333333,0.8616666666666667,0.1065,0.33195,INTC,Positive
2021-12-08,0.047,0.886,0.067,0.1695,INTC,Positive
2021-12-11,0.13,0.87,0.0,-0.128,INTC,Negative
2021-12-15,0.0,0.93,0.07,0.4588,INTC,Positive
2021-12-18,0.0,0.797,0.203,0.8932,INTC,Positive
2021-12-22,0.0,0.9375,0.0625,0.3243,INTC,Positive
2021-12-26,0.0,0.903,0.097,0.6588,INTC,Positive
2021-12-28,0.0,1.0,0.0,0.0,INTC,Neutral
2022-01-01,0.0,1.0,0.0,0.0,INTC,Neutral
2022-01-02,0.0365,0.885,0.0785,0.40754999999999997,INTC,Positive
2022-01-04,0.0,1.0,0.0,0.0,INTC,Neutral
2022-01-05,0.0395,0.9275,0.033,-0.05435000000000004,INTC,Negative
2022-01-06,0.0,0.9735,0.0265,0.125,INTC,Positive
2022-01-10,0.0,0.935,0.065,0.24695,INTC,Positive
2022-01-12,0.09566666666666666,0.7723333333333334,0.13166666666666668,0.146,INTC,Positive
2022-01-13,0.0,1.0,0.0,0.0,INTC,Neutral
2022-01-17,0.0,1.0,0.0,0.0,INTC,Neutral
2022-01-19,0.0,1.0,0.0,0.0,INTC,Neutral
2022-01-21,0.0165,0.8694999999999999,0.11399999999999999,0.51725,INTC,Positive
2022-01-22,0.0,0.9305999999999999,0.06939999999999999,0.27496,INTC,Positive
2022-01-23,0.0,0.9285,0.07150000000000001,0.46915,INTC,Positive
2022-01-24,0.0,1.0,0.0,0.0,INTC,Neutral
2022-01-25,0.0,1.0,0.0,0.0,INTC,Neutral
2022-01-26,0.013,0.868,0.119,0.43915,INTC,Positive
2022-01-27,0.023999999999999997,0.815,0.161,0.6235,INTC,Positive
2022-01-28,0.0,0.732,0.268,0.5267,INTC,Positive
2022-02-01,0.0865,0.8715,0.0425,-0.37739999999999996,INTC,Negative
2022-02-03,0.0,1.0,0.0,0.0,INTC,Neutral
2022-02-14,0.0,0.8905000000000001,0.1095,0.44405,INTC,Positive
2022-02-17,0.0,0.848,0.152,0.7096,INTC,Positive
2022-02-18,0.01,0.9255,0.0645,0.285725,INTC,Positive
2022-02-20,0.0,0.817,0.183,0.5859,INTC,Positive
2022-02-22,0.0,0.746,0.254,0.45835000000000004,INTC,Positive
2022-02-23,0.012333333333333333,0.9303333333333333,0.057666666666666665,0.28396666666666665,INTC,Positive
2022-02-24,0.0,0.72,0.28,0.6808,INTC,Positive
2022-02-27,0.1525,0.8475,0.0,-0.296,INTC,Negative
2022-03-01,0.0,0.889,0.111,0.3612,INTC,Positive
2022-03-02,0.07,0.846,0.085,0.1298,INTC,Positive
2022-03-06,0.047,0.878,0.075,0.3182,INTC,Positive
2022-03-08,0.0,1.0,0.0,0.0,INTC,Neutral
2022-03-10,0.0,1.0,0.0,0.0,INTC,Neutral
2022-03-13,0.0,0.86,0.14,0.5994,INTC,Positive
2022-03-15,0.013666666666666667,0.967,0.019333333333333334,0.056299999999999996,INTC,Positive
2022-03-16,0.0,1.0,0.0,0.0,INTC,Neutral
2022-03-17,0.0,1.0,0.0,0.0,INTC,Neutral
2022-03-18,0.0,0.823,0.177,0.835,INTC,Positive
2022-03-23,0.0,0.828,0.172,0.4019,INTC,Positive
2022-03-24,0.0,1.0,0.0,0.0,INTC,Neutral
2022-03-25,0.0,0.875,0.125,0.7297,INTC,Positive
2022-03-27,0.049,0.7915000000000001,0.1595,0.27785000000000004,INTC,Positive
2022-03-29,0.0,0.798,0.202,0.4215,INTC,Positive
2022-04-06,0.11233333333333333,0.8273333333333334,0.06033333333333333,-0.05190000000000002,INTC,Negative
2022-04-07,0.0,0.72,0.28,0.6808,INTC,Positive
2022-04-08,0.0,0.866,0.134,0.148,INTC,Positive
2022-04-11,0.0,0.7455,0.2545,0.67745,INTC,Positive
2022-04-12,0.0,0.732,0.268,0.5267,INTC,Positive
2022-04-14,0.0,0.784,0.216,0.5267,INTC,Positive
2022-04-15,0.0,1.0,0.0,0.0,INTC,Neutral
2022-04-16,0.301,0.699,0.0,-0.9214,INTC,Negative
2022-04-17,0.155,0.845,0.0,-0.7777,INTC,Negative
2022-04-22,0.0,0.929,0.071,0.347,INTC,Positive
2022-04-23,0.008400000000000001,0.9800000000000001,0.011600000000000001,0.044879999999999996,INTC,Neutral
2022-04-24,0.0,1.0,0.0,0.0,INTC,Neutral
2022-04-25,0.0,1.0,0.0,0.0,INTC,Neutral
2022-04-27,0.0,0.732,0.268,0.5267,INTC,Positive
2022-04-28,0.05,0.92725,0.02275,-0.018025,INTC,Neutral
2022-04-29,0.0505,0.7885,0.161,0.10269999999999999,INTC,Positive
2022-05-01,0.1,0.8445,0.0555,0.21025,INTC,Positive
2022-05-02,0.056,0.772,0.172,0.8625,INTC,Positive
2022-05-03,0.049,0.9510000000000001,0.0,-0.17,INTC,Negative
2022-05-04,0.0,1.0,0.0,0.0,INTC,Neutral
2022-05-06,0.0,0.8345,0.1655,0.5104,INTC,Positive
2022-05-10,0.0,0.776,0.224,0.7351,INTC,Positive
2022-05-15,0.0,0.792,0.208,0.9195,INTC,Positive
2022-05-16,0.0,0.9665,0.0335,0.1909,INTC,Positive
2022-05-17,0.0,0.907,0.093,0.6249,INTC,Positive
2022-05-19,0.0,0.878,0.122,0.2023,INTC,Positive
2022-05-20,0.0,0.694,0.306,0.9413,INTC,Positive
2022-05-23,0.045,0.699,0.256,0.8957,INTC,Positive
2022-05-24,0.0,0.9375,0.0625,0.36485,INTC,Positive
2022-05-26,0.0415,0.9055,0.053,0.05509999999999998,INTC,Positive
2022-05-27,0.023,0.977,0.0,-0.0258,INTC,Neutral
2022-05-29,0.0,1.0,0.0,0.0,INTC,Neutral
2022-05-30,0.0,0.931,0.069,0.3818,INTC,Positive
2022-06-01,0.0,1.0,0.0,0.0,INTC,Neutral
2022-06-03,0.0,0.873,0.127,0.7297,INTC,Positive
2022-06-06,0.107,0.893,0.0,-0.4588,INTC,Negative
2022-06-08,0.068,0.75,0.182,0.5122,INTC,Positive
2022-06-09,0.0,1.0,0.0,0.0,INTC,Neutral
2022-06-10,0.1295,0.764,0.1065,-0.02034999999999998,INTC,Neutral
2022-06-16,0.095,0.687,0.2175,0.07995000000000002,INTC,Positive
2022-06-17,0.0,0.884,0.116,0.7003,INTC,Positive
2022-06-19,0.0,0.928,0.072,0.2869,INTC,Positive
2022-06-22,0.165,0.783,0.052,-0.785,INTC,Negative
2022-06-24,0.0,0.951,0.049,0.1531,INTC,Positive
2022-06-27,0.0,1.0,0.0,0.0,INTC,Neutral
2022-06-30,0.0,1.0,0.0,0.0,INTC,Neutral
2022-07-05,0.0,0.732,0.268,0.5267,INTC,Positive
2022-07-07,0.018666666666666668,0.935,0.04633333333333334,0.2312666666666667,INTC,Positive
2022-07-11,0.144,0.746,0.109,-0.1779,INTC,Negative
2022-07-13,0.0,0.875,0.125,0.7297,INTC,Positive
2022-07-15,0.0635,0.7484999999999999,0.188,0.69255,INTC,Positive
2022-07-16,0.165,0.835,0.0,-0.8645,INTC,Negative
2022-07-17,0.0,0.774,0.226,0.4215,INTC,Positive
2022-07-18,0.0,0.9185,0.0815,0.401,INTC,Positive
2022-07-20,0.03733333333333333,0.8823333333333333,0.08033333333333333,0.2717833333333333,INTC,Positive
2022-07-22,0.0,0.768,0.232,0.8957,INTC,Positive
2022-07-23,0.0,0.91825,0.08175,0.400625,INTC,Positive
2022-07-24,0.028199999999999996,0.9388,0.032999999999999995,-0.02158000000000001,INTC,Neutral
2022-07-25,0.0,0.934,0.066,0.5106,INTC,Positive
2022-07-27,0.0,0.9235,0.0765,0.20095,INTC,Positive
2022-07-28,0.11085714285714286,0.8137857142857143,0.07528571428571429,-0.12128571428571429,INTC,Negative
2022-07-29,0.040999999999999995,0.892375,0.0665,0.1837125,INTC,Positive
2022-07-31,0.0,1.0,0.0,0.0,INTC,Neutral
2022-08-03,0.09525,0.8385,0.06625,0.07875,INTC,Positive
2022-08-04,0.0,0.9335,0.0665,0.125,INTC,Positive
2022-08-09,0.05175,0.8855000000000001,0.06275,0.059524999999999995,INTC,Positive
2022-08-12,0.051666666666666666,0.8633333333333333,0.085,0.18986666666666666,INTC,Positive
2022-08-14,0.04,0.838,0.122,0.6705,INTC,Positive
2022-08-16,0.0,0.86,0.14,0.4767,INTC,Positive
2022-08-17,0.0,0.95,0.05,0.3182,INTC,Positive
2022-08-20,0.0645,0.8485,0.087,0.19935,INTC,Positive
2022-08-22,0.0,0.7124999999999999,0.2875,0.49655000000000005,INTC,Positive
2022-08-23,0.0,1.0,0.0,0.0,INTC,Neutral
2022-08-25,0.0425,0.8005,0.157,0.11015,INTC,Positive
2022-08-26,0.119,0.765,0.116,0.27344999999999997,INTC,Positive
2022-08-30,0.0,0.687,0.313,0.9603,INTC,Positive
2022-09-01,0.0,1.0,0.0,0.0,INTC,Neutral
2022-09-02,0.0,0.637,0.363,0.9663,INTC,Positive
2022-09-07,0.181,0.765,0.054,-0.5908,INTC,Negative
2022-09-08,0.084,0.888,0.028,-0.2787,INTC,Negative
2022-09-09,0.108,0.8293333333333334,0.06266666666666666,-0.005966666666666676,INTC,Neutral
2022-09-10,0.0,0.928,0.072,0.3597,INTC,Positive
2022-09-13,0.07025,0.8340000000000001,0.09575,0.25535,INTC,Positive
2022-09-15,0.0685,0.8525,0.079,-0.21669999999999998,INTC,Negative
2022-09-16,0.05366666666666667,0.9253333333333332,0.021,-0.07346666666666668,INTC,Negative
2022-09-17,0.0,0.859,0.141,0.7845,INTC,Positive
2022-09-19,0.0,0.94,0.06,0.2023,INTC,Positive
2022-09-21,0.0,1.0,0.0,0.0,INTC,Neutral
2022-09-22,0.011999999999999999,0.8903333333333333,0.09766666666666667,0.23253333333333334,INTC,Positive
2022-09-23,0.012666666666666666,0.8656666666666667,0.12166666666666666,0.42333333333333334,INTC,Positive
2022-09-26,0.04075,0.8915,0.06775,0.09865,INTC,Positive
2022-09-27,0.0,0.714,0.286,0.7783,INTC,Positive
2022-09-28,0.0,1.0,0.0,0.0,INTC,Neutral
2022-09-29,0.204,0.796,0.0,-0.8271,INTC,Negative
