Date,Tweet,Stock Name,Company Name,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,sentiment_label
2021-10-07,"Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WFC $WBA $INTC $GOOGL $F $C $DPZ $UNH $GM $JNJ $MS $T $NUE $CMC  $AA $TWTR $BA $QCOM $LRCX 

FYI $AMZN $TSLA $AMD $BABA $MSFT have not scheduled earnings yet https://t.co/9QAaaxXGUx",INTC,Intel Corporation,0.0,0.949,0.051,0.368,Positive
2021-10-14,"TSMC node transitions are slowing down heavily!
At N7, cost/transistor stopped scaling
At N5, cost/transistor went up and SRAM scaling slowed
At N3 cadence moved to 2.5 years and power/SRAM scaling poor
And now N2 is 2025
This Intel/Samsung moment to catch up!
$TSM $INTC $SSNLF",INTC,Intel Corporation,0.113,0.887,0.0,-0.6792,Negative
2021-10-16,"💥BIG WEEK OF Q3 EARNINGS AHEAD 👀👀

Mon: -
Tues: $NFLX $JNJ $UAL $PG $HAL
Wed: $TSLA $IBM $HPQ $VZ $LVS
Thurs: $SNAP $INTC $T $AAL $LUV
Fri: $AXP $HON

$DIA $SPY $QQQ $IWM $VIX https://t.co/M0WOZkbnoV",INTC,Intel Corporation,0.0,1.0,0.0,0.0,Neutral
2021-10-16,"A packed earnings week!

$STT
$ELS
$ACO
$STLD
$PACW
$HXL
$CFB
$JNJ
$PG
$NFLX
$PM
$CNI
$BK
$TRV
$DOV
$HAL
$IBKR
$TSLA
$ASML
$VZ
$NEE
$ANTM
$CSX
$BIIB
$NDAQ
$EFX
$XM
$INTC
$SNAP
$SAP
$T
$FCX
$LUV
$FAF
$OLN
$ON
$AXP
$HCA
$ROP
$SLB
$RF

Full list with plays: https://t.co/lNGVHeFz2o https://t.co/bBXD3zbAyP",INTC,Intel Corporation,0.0,0.956,0.044,0.3164,Positive
2021-10-17,"💥This Week's Most Notable #Earnings (via @eWhispers)

Mon: $STLD $ZION
Tues: $NFLX $JNJ $UAL $HAL $PG $PM $BK $IBKR $SI
Wed: $TSLA $IBM $ASML $LRCX $HPQ $VZ $LVS $NEE $KMI $NDAQ $WGO
Thurs: $SNAP $INTC $T $AAL $LUV $BX $FCX $NUE $CROX $CMG $SAM
Fri: $AXP $CLF $SLB $HON

$SPY https://t.co/OB24J74zOv",INTC,Intel Corporation,0.0,1.0,0.0,0.0,Neutral
2021-10-17,"A packed earnings week!

$STT
$ELS
$ACO
$STLD
$PACW
$HXL
$CFB
$JNJ
$PG
$NFLX
$PM
$CNI
$BK
$TRV
$DOV
$HAL
$IBKR
$TSLA
$ASML
$VZ
$NEE
$ANTM
$CSX
$BIIB
$NDAQ
$EFX
$XM
$INTC
$SNAP
$SAP
$T
$FCX
$LUV
$FAF
$OLN
$ON
$AXP
$HCA
$ROP
$SLB
$RF

Full list with plays: https://t.co/lNGVHeFz2o https://t.co/wsvdq2LH2X",INTC,Intel Corporation,0.0,0.956,0.044,0.3164,Positive
2021-10-17,"⚠️3 Stocks To Watch This Week:

-Netflix
-Tesla
-Intel

👉 https://t.co/P5tUZJousX 

$NFLX $TSLA $INTC https://t.co/LdDXq2CwPR",INTC,Intel Corporation,0.0,1.0,0.0,0.0,Neutral
2021-10-18,"$INTC 

Fuck. https://t.co/LQauwjIX7D",INTC,Intel Corporation,0.636,0.364,0.0,-0.5423,Negative
2021-10-19,"Update on Apple, Tesla, Amazon, Nvidia, $SPY, $QQQ, AMD, Disney, AMC, Micron, Bitcoin, and Ethereum!

Content
Technology $AAPL $AMZN $AMD $NVDA $MSFT $TSLA $ENPH $MU $INTC
Reopening / Inflation $DIS $AMC $UUUU $CPER $VALE
Crypto $BTC $ETH $MARA $RIOT $MSTR
https://t.co/oQUGNbONDE",INTC,Intel Corporation,0.102,0.86,0.038,-0.6027,Negative
2021-10-21,"$5053.66 for Q4 🔥 🔥 
(My #Dividend for the rest of the year)
Big names like:
$XOM $O $T $VZ $AAPL $SBUX $SPG 
$INTC $JNJ $PFE $WBA $NLY $BP https://t.co/dqU0ImzpTd",INTC,Intel Corporation,0.14,0.787,0.073,-0.3182,Negative
2021-10-21,EARNINGS: Intel Q3 EPS $1.71 Adj. vs. $1.11 Est.; Q3 Revs. $18.1B vs. $18.24B Est. • $INTC https://t.co/DyneXDAzB0 https://t.co/Y3FpRzWs9w,INTC,Intel Corporation,0.0,1.0,0.0,0.0,Neutral
2021-10-21,"$DWAC TRUMP SOCIAL MEDIA COMING FOR ALL THE PLATFORMS LOL 

$SNAP DOWN 30%

$INTC  DOWN 6% 

$FB DOWN 7%",INTC,Intel Corporation,0.0,0.836,0.164,0.5473,Positive
2021-10-21,I'm just letting y'all know I had to put my money where my mouth is. So 3500 contract on the $INTC 54 Put for this Friday. I'm out here. If you missed Tuesday than you missed an opportunity. Don't Intel the sun will come up tomorrow. #iAMWHOIAM #LEARNEARN #thecomeupseries,INTC,Intel Corporation,0.083,0.865,0.053,-0.1531,Negative
2021-10-22,"🐳 news:

- @federalreserve listens to @unusual_whales 
- $DWAC: 📈📈📈
- $SNAP -27% AH, $FB/ $TWTR down
- Biden: 📈 tax $400,000
- $TSLA: enforcing strict FSDa rules
- $INTC: shortage till 2023
- $LCID: sedans in 2023
- $SNDL x $TLRY?
- Futures 🤢: https://t.co/TB1xWVfF66 https://t.co/Eak4lhRzdW",INTC,Intel Corporation,0.036,0.964,0.0,-0.25,Negative
2021-10-22,"Intel Betting The Farm
Shrinking business, margins down for a few years, but aggressively investing $40B-$43B a year, more with subsidies!
$INTC could follow the path of other American goliaths such as IBM and General Electric, but instead they will fight!
https://t.co/ATANgneYvK",INTC,Intel Corporation,0.148,0.852,0.0,-0.7866,Negative
2021-10-22,Absolutely ridiculous Why $IBM and $INTC are still part of the Dow Jones Index. Take them nasty shits outs already and add $NVDA and $AMZN. https://t.co/AKt123UzCT,INTC,Intel Corporation,0.292,0.708,0.0,-0.8588,Negative
2021-10-24,"Some of the best Dividend/Dividend Growth stock that money can buy:
$PEP
$O
$HD
$KO
$MSFT
$MMM
$AAPL
$JPM
$PG
$JNJ
$T
$MCD
$SPG
$COST
$V
$VZ
$SBUX
$MA
$NKE
$XOM
$MO
$WMT
$BAC
$INTC
$PFE
$WBA
$IRM
Add them to your watchlist, research them and build true passive income.",INTC,Intel Corporation,0.0,0.801,0.199,0.886,Positive
