Stock Name,tweet_count,sentiment_compound_mean,sentiment_compound_std,sentiment_compound_min,sentiment_compound_max,sentiment_positive_mean,sentiment_negative_mean,sentiment_neutral_mean,Negative,Neutral,Positive
TSLA,37422,0.176,0.451,-0.999,0.998,0.103,0.048,0.848,8198,10279,18945
TSM,11034,0.222,0.455,-0.992,0.992,0.149,0.057,0.794,2062,3158,5814
AAPL,5056,0.145,0.433,-0.994,0.99,0.078,0.042,0.88,1120,1586,2350
AMZN,4089,0.204,0.447,-0.951,0.982,0.097,0.041,0.862,848,985,2256
PG,4089,0.204,0.447,-0.951,0.982,0.097,0.041,0.862,848,985,2256
MSFT,4089,0.204,0.447,-0.951,0.982,0.097,0.041,0.862,848,985,2256
NIO,3021,0.244,0.398,-0.936,0.989,0.1,0.024,0.876,324,1158,1539
META,2751,0.158,0.447,-0.979,0.986,0.084,0.048,0.868,630,797,1324
AMD,2227,0.283,0.458,-0.987,0.981,0.105,0.033,0.863,351,573,1303
NFLX,1727,0.111,0.45,-0.968,0.979,0.082,0.058,0.86,444,516,767
GOOG,1291,0.217,0.439,-0.98,0.987,0.095,0.037,0.868,222,378,691
PYPL,843,0.198,0.437,-0.93,0.969,0.085,0.037,0.877,156,251,436
DIS,635,0.145,0.431,-0.962,0.961,0.077,0.037,0.886,120,237,278
BA,399,0.179,0.416,-0.943,0.965,0.07,0.029,0.901,67,154,178
COST,393,0.18,0.453,-0.91,0.959,0.078,0.04,0.882,79,121,193
INTC,315,0.18,0.46,-0.921,0.98,0.084,0.04,0.876,66,94,155
KO,310,0.214,0.411,-0.827,0.92,0.066,0.029,0.905,53,100,157
CRM,233,0.224,0.408,-0.941,0.924,0.073,0.022,0.905,33,82,118
XPEV,225,0.278,0.396,-0.848,0.96,0.101,0.029,0.87,27,61,137
ENPH,216,0.314,0.431,-0.98,0.976,0.103,0.032,0.865,29,45,142
ZS,193,0.294,0.392,-0.908,0.925,0.079,0.024,0.897,21,55,117
VZ,123,0.283,0.423,-0.735,0.971,0.085,0.025,0.89,16,39,68
BX,50,0.332,0.374,-0.572,0.904,0.091,0.023,0.886,5,11,34
NOC,31,0.121,0.495,-0.923,0.765,0.089,0.065,0.846,11,4,16
F,31,0.121,0.495,-0.923,0.765,0.089,0.065,0.846,11,4,16
